t_int,feedin_atnode_kW,demand_atnode_kW,max_demand_feedin_atnode_kW,feedin_atnode_taken_kW,feedin_atnode_loss_kW,iter,scen
4920,0.0,11113.463869085279,11113.463869085279,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4921,0.0,10737.831728562103,10737.831728562103,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4922,0.0,10105.311448681487,10105.311448681487,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4923,0.0,8120.094880445638,8120.094880445638,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4924,0.0,7251.733657230993,7251.733657230993,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4925,0.0,6971.075169345189,6971.075169345189,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4926,90.89679760641326,6294.132843557133,6294.6476213152155,90.89679760641326,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4927,1507.3396627647319,6344.326651245822,6378.366923892151,1507.3396627647319,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4928,3393.163977115636,6925.952826972732,7347.958132087121,3393.163977115636,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4929,5168.816600637243,9213.240638390998,9930.11772137885,5168.816600637243,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4930,6966.010243641121,9617.59807863345,11258.339264173728,6966.010243641121,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4931,8388.258596270625,10657.615262962372,13038.758153768751,8388.258596270625,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4932,6933.243744292901,14124.66211584184,14858.585941725147,6933.243744292901,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4933,5697.959286697004,19233.80187543703,19431.36023507979,5697.959286697004,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4934,5510.275308700932,14255.63052329953,14625.242441378326,5510.275308700932,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4935,4855.140694449644,12608.763484942323,12982.642850719172,4855.140694449644,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4936,4805.3833244908055,11740.746054508714,12213.338504933725,4805.3833244908055,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4937,3272.6419674520134,10395.063852818745,10548.367634339485,3272.6419674520134,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4938,1614.3587097311524,9334.891948862873,9361.565314813459,1614.3587097311524,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4939,723.705239537384,12970.095994982184,12978.609801797786,723.705239537384,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4940,47.452238372785224,13941.766988818135,13942.18172263364,47.452238372785224,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4941,0.0,12714.325160437362,12714.325160437362,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4942,0.0,13844.117670126652,13844.117670126652,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4943,0.0,13190.081500942473,13190.081500942473,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4944,0.0,15734.473543662867,15734.473543662867,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4945,0.0,11843.652935827871,11843.652935827871,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4946,0.0,9148.163406638314,9148.163406638314,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4947,0.0,7889.191632688864,7889.191632688864,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4948,0.0,7842.183829125384,7842.183829125384,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4949,0.0,6888.334696423668,6888.334696423668,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4950,1.2678005692267624,6500.2544754787905,6500.2544754787905,1.2678005692267624,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4951,879.4536212622712,6443.107066525018,6457.920876450989,879.4536212622712,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4952,2863.8733151416386,6484.145038005493,6776.815624486299,2863.8733151416386,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4953,5059.544540744502,8084.620926078558,9002.1760428142,5059.544540744502,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4954,7066.623652623255,9052.093571187883,10952.897181318325,7066.623652623255,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4955,8165.950240580916,9168.665913146295,12015.934644157116,8165.950240580916,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4956,6990.168258064881,12611.680509803466,13571.598791680553,6990.168258064881,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4957,4734.13715074923,12564.40574253573,12868.651964128068,4734.13715074923,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4958,5828.524983254438,11852.825364339325,12818.237065914433,5828.524983254438,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4959,4679.202575144024,11909.357813594486,12397.67018423958,4679.202575144024,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4960,4312.42317205245,10994.6338164533,11472.229608286827,4312.42317205245,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4961,3489.1369955433393,11319.543244564833,11498.926516786345,3489.1369955433393,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4962,1932.1827931364785,11566.892468182214,11599.270905265617,1932.1827931364785,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4963,896.7925787913044,15630.33408255888,15642.971385191113,896.7925787913044,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4964,1.2809163481298225,14480.237417101993,14480.237417101993,1.2809163481298225,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4965,0.0,21698.627529472968,21698.627529472968,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4966,0.0,15054.668580548849,15054.668580548849,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4967,0.0,14761.30043522164,14761.30043522164,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4968,0.0,12492.279958567413,12492.279958567413,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4969,0.0,10052.532145121633,10052.532145121633,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4970,0.0,8034.332061846783,8034.332061846783,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4971,0.0,7219.022230515399,7219.022230515399,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4972,0.0,6689.043790452775,6689.043790452775,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4973,0.0,6426.528200910121,6426.528200910121,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4974,20.486096307402875,6031.020834476723,6031.163339908105,20.486096307402875,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4975,978.525699314214,6471.794165733643,6489.165900603908,978.525699314214,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4976,332.93799174946275,6866.007111697684,6868.627501686337,332.93799174946275,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
